code,name,principal_id,category,eceran,unit_1,unit_2,unit_3,ratio_unit_2_per_unit_1,ratio_unit_3_per_unit_2,availability_default,spec_technical
304937,AHH GGM 4g GT (20pcs x 10ib),KSNI,SNACKS,AHH-E500,KRT,BOX,PCS,10,20,OPEN,
304949,AHH CCP 4g GT (20pcs x 10ib),KSNI,SNACKS,AHH-E500,KRT,BOX,PCS,10,20,OPEN,
304029,SIIP CHE 4g GT (20pcs x 12ib),KSNI,SNACKS,SIP-E500,KRT,BOX,PCS,12,20,OPEN,
304042,SIIP BITES CHE 85g GT (6 toples),KSNI,SNACKS,SIP-E22K,KRT,PCS,,6,1,OPEN,
304926,SIIP RCN 4g GT (20pcs x 12ib),KSNI,SNACKS,SIP-E500,KRT,BOX,PCS,12,20,OPEN,
304147,SIIP CHO 4g GT (20pcs x 12ib),KSNI,SNACKS,SIP-E500,KRT,BOX,PCS,12,20,OPEN,
304950,SIIP CCP 4g GT (20pcs x 12ib),KSNI,SNACKS,SIP-E500,KRT,BOX,PCS,12,20,OPEN,
304040,SIIP BITES CHE 16g GT (5pc x 12 bal),KSNI,SNACKS,SIP-E02K,KRT,BOX,PCS,12,5,OPEN,
304957,SIIP BITES RCN 16g GT (5pc x 12 bal),KSNI,SNACKS,SIP-E02K,KRT,BOX,PCS,12,5,OPEN,
304158,SIIP BITES CHO 16g GT (5pcs x 12 bal),KSNI,SNACKS,SIP-E02K,KRT,BOX,PCS,12,5,OPEN,
